order_id,product_id,add_to_cart_order,reordered
194,45,5,1
210,86,17,1
224,34,8,1
297,45,14,0
312,54,2,0
331,45,20,0
334,28,1,1
372,45,3,0
493,45,14,1
508,34,2,1
516,45,1,1
544,95,9,0
582,45,14,0
608,45,7,0
645,45,7,1
651,79,19,1
742,45,17,0
791,23,4,0
829,27,12,1
897,34,2,1
935,54,2,0
1050,45,7,1
1080,45,4,1
1107,1,7,0
1155,25,15,1
1286,45,10,1
1292,45,9,1
1375,45,10,0
1410,45,6,1
1425,45,7,1
1457,34,2,0
1532,10,18,1
1535,99,8,1
1646,45,10,1
1673,79,3,1
1705,79,3,1
1717,95,2,1
1722,77,5,1
1755,32,2,1
1765,79,12,0
1872,79,16,0
1915,45,5,1
2200,28,3,0
2261,34,3,1
2491,100,12,0
2510,93,3,1
2510,25,18,1
2585,45,10,1
2744,28,3,1
2767,79,23,0
2939,95,2,0
2982,34,14,0
2998,3,6,1
3000,95,7,0
3002,45,6,0
3184,79,10,1
3192,79,9,1
3371,45,8,1
3386,34,2,1
3474,94,4,1
3485,45,5,1
3612,28,3,1
3811,41,12,1
3869,49,3,0
4074,45,2,0
4169,45,3,1
4412,45,2,1
4425,95,11,0
4568,45,5,1
4585,93,6,1
4603,23,33,0
4666,25,7,1
4706,34,18,0
4722,79,23,1
4825,99,17,0
5042,45,14,0
5043,73,7,0
5059,71,12,0
5087,45,1,1
5088,34,2,1
5172,25,11,1
5196,93,4,1
5213,45,5,0
5319,1,3,1
5441,23,3,0
5516,54,1,0
5518,49,19,1
5550,45,2,1
5561,25,5,0
5568,45,5,0
5652,45,4,1
5829,10,1,1
5847,67,7,0
5909,34,20,1
5980,63,16,0
6164,95,10,0
6171,86,5,1
6224,28,2,0
6406,54,3,0
6419,45,6,0
6421,45,7,1
6740,79,15,0
6857,45,6,1
7174,25,12,1
7194,45,4,0
7368,49,14,0
7540,1,4,1
7637,34,3,1
7662,77,1,1
7675,34,17,0
7737,25,2,1
7810,45,12,1
7814,25,4,1
7890,79,6,0
8091,45,17,1
8107,33,18,1
8181,54,3,1
8334,32,2,0
8336,45,2,0
8358,34,11,0
8385,49,3,0
8402,34,1,0
8428,95,1,0
8499,10,1,1
8546,86,1,0
8678,34,19,1
8802,93,4,1
8803,34,7,0
8920,10,3,0
8946,95,5,0
8956,79,4,0
8966,34,6,1
9010,37,11,0
9077,45,5,1
9228,1,2,0
9253,63,14,1
9273,1,30,0
9412,100,3,1
9618,93,7,1
9651,45,9,1
9661,45,3,1
9696,1,5,1
9785,45,3,1
9893,25,15,1
9928,87,2,0
10050,48,1,0
10078,74,25,0
10091,63,20,1
10102,23,1,1
10142,34,7,1
10171,45,8,0
10197,34,2,0
10260,45,4,1
10264,79,5,0
10264,49,17,0
10289,45,6,0
10419,47,2,0
10560,93,5,1
10568,95,1,0
10596,37,6,1
10711,10,1,0
10728,71,1,0
10761,45,8,1
10764,26,4,1
10767,34,12,1
10774,45,3,1
10846,25,3,1
10879,45,8,0
11055,12,10,1
11082,99,12,1
11131,93,26,0
11140,1,1,1
11152,45,9,0
11156,45,6,1
11245,45,1,1
11272,19,21,0
11370,29,7,0
11378,45,4,0
11406,45,8,1
11432,45,8,0
11441,95,1,0
11485,1,4,0
11662,63,3,0
11780,73,2,0
11898,45,7,1
11999,49,9,0
12033,79,34,1
12089,45,14,0
12209,2,20,0
12371,45,28,1
12402,79,16,0
12414,34,6,1
12429,93,12,1
12565,34,1,1
12637,45,2,0
12648,79,7,1
12672,1,3,1
12731,10,5,0
12761,45,10,1
12771,44,1,1
12817,34,7,0
12913,57,22,0
12921,34,13,1
12965,34,2,1
12968,79,31,1
12970,29,9,0
12973,45,2,0
12980,40,20,1
12989,34,10,0
13071,79,8,1
13105,45,7,1
13379,4,1,0
13392,45,18,1
13422,25,9,1
13440,54,5,1
13442,45,10,0
13547,27,3,0
13595,45,12,0
13595,34,17,0
13628,45,4,1
13668,1,4,1
13671,45,1,1
13739,10,2,1
13804,77,10,0
13814,99,1,1
13870,25,7,1
13922,45,3,1
13974,49,5,0
14036,45,6,1
14094,10,5,1
14117,40,2,0
14151,95,25,0
14163,83,6,0
14224,45,10,0
14249,34,7,0
14272,79,1,1
14285,34,7,1
14323,45,11,1
14395,10,4,1
14595,54,1,0
14595,25,21,0
14668,1,13,1
14731,95,12,1
14786,45,6,1
14790,34,18,1
14871,45,16,1
14908,34,11,1
14981,54,10,1
15070,79,17,0
15106,47,6,1
15148,10,13,1
15209,57,12,0
15287,43,26,0
15290,45,2,0
15391,34,31,1
15394,28,14,0
15410,100,9,0
15425,45,13,1
15488,49,7,0
15609,50,16,0
15736,29,10,0
15766,28,6,1
15974,83,2,0
16002,94,16,1
16005,25,22,0
16033,47,39,1
16075,45,5,1
16132,1,1,1
16180,95,5,1
16249,45,8,0
16355,79,5,1
16372,37,14,1
16385,47,23,1
16389,10,9,1
16469,95,16,0
16469,45,17,0
16594,45,11,1
16604,26,6,1
16655,34,3,0
