order_id,user_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior_order
788338,2,prior,8,1,15,27.0
3268552,2,prior,13,4,11,30.0
1611810,11,prior,4,5,13,30.0
1771198,27,prior,7,2,14,5.0
3331846,28,prior,3,0,16,2.0
1385910,28,prior,21,2,17,1.0
1120389,31,prior,8,0,11,5.0
2754717,39,prior,7,6,16,30.0
1816335,42,prior,2,1,15,6.0
19190,42,prior,3,1,19,7.0
232622,42,prior,7,3,13,9.0
521231,42,prior,9,3,19,24.0
758679,56,prior,8,0,16,5.0
1221340,56,prior,9,1,8,8.0
1089058,58,prior,7,0,9,3.0
326173,58,prior,8,2,10,9.0
1812321,62,prior,8,4,13,30.0
1962560,71,prior,2,3,16,7.0
2012622,71,prior,5,4,21,18.0
434668,71,prior,6,2,14,12.0
2606009,71,prior,8,3,16,14.0
920597,71,prior,9,5,14,30.0
1519861,75,prior,1,5,13,
2071859,75,prior,2,1,14,17.0
1578024,75,prior,22,2,13,9.0
1657089,75,prior,23,4,14,9.0
1791727,89,prior,2,0,17,10.0
3278419,115,prior,9,4,18,4.0
3127804,117,prior,10,4,19,30.0
1053311,122,prior,7,5,17,0.0
2150851,122,prior,8,6,20,1.0
2087698,133,prior,20,1,21,6.0
3139998,138,prior,28,6,11,3.0
1977647,138,prior,30,6,17,20.0
2946026,152,prior,12,4,20,3.0
690218,154,prior,11,1,14,7.0
2616266,154,prior,18,0,21,7.0
1168548,160,prior,6,3,14,15.0
567775,160,prior,10,2,19,9.0
1881925,167,prior,4,1,15,16.0
970863,168,prior,2,6,11,8.0
120590,168,prior,21,1,11,5.0
1075956,176,prior,6,1,13,8.0
2661186,183,prior,3,0,19,9.0
3374094,183,prior,4,1,16,30.0
2527449,188,prior,1,0,10,
1229736,188,prior,2,6,12,6.0
1751717,188,prior,3,2,6,17.0
239906,202,prior,6,0,10,30.0
2212136,210,prior,35,5,17,2.0
1675658,214,prior,4,1,15,7.0
1612834,219,prior,30,3,15,4.0
1971370,222,prior,12,2,7,5.0
169443,225,prior,11,4,10,6.0
1589727,232,prior,1,5,14,
1225719,232,prior,3,3,15,6.0
269155,232,prior,4,0,9,4.0
2159284,232,prior,5,5,10,5.0
2294209,232,prior,12,2,9,6.0
3364176,232,prior,17,1,10,6.0
520743,232,prior,22,5,13,11.0
2996036,232,prior,29,3,13,9.0
676596,233,prior,6,5,11,7.0
744096,233,prior,8,1,6,19.0
1311785,233,prior,13,5,10,7.0
2474799,233,prior,14,5,10,7.0
2587979,233,prior,15,5,10,7.0
2108745,233,prior,17,5,11,7.0
2251003,233,prior,20,5,10,7.0
435018,233,prior,23,5,10,7.0
3048090,233,prior,25,3,12,19.0
1802947,236,prior,13,0,0,3.0
670138,236,prior,18,2,23,2.0
1585137,236,prior,23,3,1,4.0
933301,254,prior,2,4,20,4.0
1509722,256,prior,7,0,16,30.0
937113,258,prior,10,6,22,6.0
502391,258,prior,11,6,19,7.0
1206128,258,prior,16,6,11,5.0
2894072,258,prior,17,0,10,1.0
1957089,258,prior,20,1,16,8.0
1048797,258,prior,24,1,18,6.0
2465559,264,prior,13,3,9,7.0
1098729,275,prior,1,4,18,
2975214,279,prior,1,5,13,
3341490,279,prior,2,4,13,13.0
1691473,279,prior,3,5,12,22.0
2704671,279,prior,7,3,16,23.0
735300,279,prior,14,1,21,30.0
2287043,295,prior,7,4,13,1.0
3206736,297,prior,8,1,18,30.0
3068717,297,prior,10,1,18,26.0
2006429,297,prior,11,1,19,21.0
512953,301,prior,1,3,14,
402904,301,prior,2,2,12,6.0
1541821,301,prior,4,3,15,24.0
3006217,301,prior,12,5,11,10.0
1127644,301,prior,15,2,18,13.0
1985250,309,prior,1,0,13,
151107,316,prior,10,1,11,27.0
163053,322,prior,2,3,12,17.0
2511029,327,prior,12,1,16,7.0
189834,327,prior,43,2,8,4.0
259495,333,prior,1,5,12,
1757867,333,prior,3,1,17,17.0
1818688,333,prior,5,5,11,14.0
1250178,333,prior,8,5,8,28.0
1357173,334,prior,16,2,13,3.0
2901984,334,prior,28,2,14,4.0
2595247,334,prior,45,6,0,5.0
2687204,334,prior,46,2,17,10.0
3408259,334,prior,48,5,22,13.0
2396961,334,prior,62,5,13,6.0
2148282,348,prior,10,1,9,15.0
2609856,366,prior,3,1,10,6.0
2063720,376,prior,2,3,10,22.0
2088463,379,prior,12,5,13,5.0
3382590,382,prior,2,2,16,13.0
427386,382,prior,13,1,10,3.0
405284,382,prior,15,1,11,6.0
1931573,382,prior,26,1,13,16.0
1740096,400,prior,1,3,1,
2020926,400,prior,2,1,14,30.0
920552,403,prior,30,5,17,30.0
1308794,403,prior,32,0,15,7.0
1118602,407,prior,1,0,13,
1124230,432,prior,4,0,18,5.0
1157618,432,prior,11,0,19,10.0
1561870,432,prior,52,0,11,3.0
1073729,434,prior,4,6,17,7.0
2581538,435,prior,3,2,19,8.0
341795,435,prior,10,2,20,12.0
2391905,435,prior,11,1,20,20.0
3005667,437,prior,1,2,11,
1562969,450,prior,5,0,9,30.0
1364932,466,prior,26,1,17,30.0
352189,485,prior,10,6,8,19.0
3378598,485,prior,11,3,8,11.0
476209,485,prior,12,3,8,14.0
1918106,495,prior,17,0,18,14.0
771684,497,prior,1,1,13,
378898,509,prior,9,0,13,17.0
2460383,516,prior,69,0,11,3.0
2674584,567,prior,8,0,17,11.0
3106604,567,prior,9,3,20,10.0
1793808,567,prior,10,1,10,12.0
3087100,567,prior,11,2,11,8.0
3217462,567,prior,14,1,20,9.0
1643833,567,prior,16,1,19,13.0
870490,567,prior,17,1,18,14.0
2600209,567,prior,21,3,10,16.0
269701,578,prior,1,4,19,
224230,578,prior,2,4,20,0.0
3141458,580,prior,4,2,18,30.0
2045954,582,prior,5,1,14,30.0
235749,582,prior,7,2,15,20.0
1528937,582,prior,15,1,14,30.0
3267745,582,prior,17,1,16,14.0
1164200,596,prior,63,2,10,6.0
2856927,618,prior,2,5,12,30.0
2539268,618,prior,5,5,11,10.0
2383608,618,prior,7,1,8,7.0
1890278,618,prior,25,2,11,10.0
2826120,618,prior,27,4,20,12.0
1758133,626,prior,26,3,13,2.0
1114232,626,prior,43,1,12,4.0
694215,626,prior,50,3,12,1.0
510450,638,prior,1,1,17,
369616,638,prior,7,4,9,4.0
179567,638,prior,11,0,10,4.0
466731,638,prior,14,3,18,20.0
2618715,638,prior,18,6,15,7.0
3127515,638,prior,19,0,11,15.0
228128,638,prior,20,3,17,3.0
1554027,643,prior,8,0,9,30.0
3333536,658,prior,24,5,18,4.0
